flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s80,path/s80.fu100.h5ad,80,"[[-0.044799359420548426, 0.9989960046944676, 438.91327077321057], [-0.9989960046944676, -0.044799359420548426, 3266.945030664074], [0.0, 0.0, 1.0]]",3700,12300
s81,path/s81.fu100.h5ad,81,"[[-0.129020962551722, 0.9916418664125815, 448.9774804776247], [-0.9916418664125815, -0.129020962551722, 3393.166866514066], [0.0, 0.0, 1.0]]",3900,8350
s82,path/s82.fu100.h5ad,82,"[[-0.08936488064942719, 0.9959989548721992, 328.65987790918916], [-0.9959989548721992, -0.08936488064942719, 3349.7407348488427], [0.0, 0.0, 1.0]]",3450,4550
s83,path/s83.fu100.h5ad,83,"[[-0.20251766814161548, 0.9792786090232355, 615.2829159515757], [-0.9792786090232355, -0.20251766814161548, 3378.586927128471], [0.0, 0.0, 1.0]]",7850,12000
s85,path/s85.fu100.h5ad,85,"[[-0.17574126403602794, 0.9844363910964575, 636.9824702550104], [-0.9844363910964575, -0.17574126403602794, 3404.4462133357847], [0.0, 0.0, 1.0]]",8550,4050
s86,path/s86.fu100.h5ad,86,"[[0.9780748356084222, 0.20825372973744888, 109.40111760387487], [-0.20825372973744888, 0.9780748356084222, 1042.9775154810059], [0.0, 0.0, 1.0]]",11000,11250
s87,path/s87.fu100.h5ad,87,"[[0.989617382273758, 0.14372695189711523, 99.58170539980426], [-0.14372695189711523, 0.989617382273758, 924.9018931382224], [0.0, 0.0, 1.0]]",6750,10900
s88,path/s88.fu100.h5ad,88,"[[0.9982653839865367, 0.058874639142947036, 0.011374523870415487], [-0.058874639142947036, 0.9982653839865367, 926.7887948849766], [0.0, 0.0, 1.0]]",2550,12150
s89,path/s89.fu100.h5ad,89,"[[0.999206873432411, 0.03981989559786796, 252.33314772566519], [-0.03981989559786796, 0.999206873432411, 797.6984902945713], [0.0, 0.0, 1.0]]",11650,7050
s90,path/s90.fu100.h5ad,90,"[[0.9970105366748047, 0.07726570881975381, 159.54113465470013], [-0.07726570881975381, 0.9970105366748047, 814.6909910583843], [0.0, 0.0, 1.0]]",8800,5250
s91,path/s91.fu100.h5ad,91,"[[0.9987155424494832, -0.05066818794701987, 120.52603004104935], [0.05066818794701987, 0.9987155424494832, 661.9735463039759], [0.0, 0.0, 1.0]]",3200,7150
s92,path/s92.fu100.h5ad,92,"[[0.17068043889435205, -0.985326437166298, 2978.4408236317563], [0.985326437166298, 0.17068043889435205, 494.39128677767394], [0.0, 0.0, 1.0]]",4400,4500
s93,path/s93.fu100.h5ad,93,"[[0.06549120188198294, -0.9978531467485859, 3029.9349005741196], [0.9978531467485859, 0.06549120188198294, 690.5603098415379], [0.0, 0.0, 1.0]]",5200,8750
s94,path/s94.fu100.h5ad,94,"[[0.058122292486697556, -0.9983094706132424, 3091.8829164144086], [0.9983094706132424, 0.058122292486697556, 539.1467700590412], [0.0, 0.0, 1.0]]",4620,13100
s95,path/s95.fu100.h5ad,95,"[[-0.09035664725923577, -0.9959094719381224, 3151.320828858672], [0.9959094719381224, -0.09035664725923577, 801.3218009417034], [0.0, 0.0, 1.0]]",9750,4100
s96,path/s96.fu100.h5ad,96,"[[0.11268993617481284, -0.9936302019790447, 2955.854297866156], [0.9936302019790447, 0.11268993617481284, 572.8889368714083], [0.0, 0.0, 1.0]]",9350,8050
s97,path/s97.fu100.h5ad,97,"[[-0.004240137280572327, -0.9999910105775168, 3142.180684034978], [0.9999910105775168, -0.004240137280572327, 716.3712179633985], [0.0, 0.0, 1.0]]",8950,13150
